Position,Date,Team,Inning,Batter,Batter_hand,Bounds,Start_area,Catch_area,Catch_pos,Backhand,Throw_area,Throw_to,Throw_time,Throw_direction,Throw_pos,Catch_success,Throw_success,Situation,Note_1,Note_2
유격수,2023.5.13,키움,5,이원석,우,0,유격수정면,2루베이스앞,머리위,No,2루베이스앞,1루,0.69,왼쪽,머리위,성공,성공,병살타,,
유격수,2023.5.13,키움,4,박준태,좌,1,유격수정면,유격수정면,얼굴,No,유격수정면,2루,1.12,정면,얼굴,성공,성공,땅볼,,
유격수,2023.5.14,키움,9,이형종,우,0,3유간흙,외야파울지역,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.5.14,키움,1,이원석,우,1,유격수정면,유격수정면,무릎,No,유격수정면,2루,1.27,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.14,키움,5,박찬혁,우,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.7,왼쪽,허리,성공,성공,땅볼,,
유격수,2023.5.14,키움,2,,,0,2루베이스뒤,2루베이스앞,얼굴,No,,,,,,실패,,도루허용,포수송구미스,
유격수,2023.5.16,SSG,3,오태곤,우,0,유격수정면,유격수정면,얼굴,No,,,,,,성공,,직선타,점프캐치,
유격수,2023.5.16,SSG,9,한유섬,좌,0,2루정면,2루베이스앞,가슴,No,,,,,,성공,,병살타,시프트,
유격수,2023.5.17,SSG,3,최정,우,0,3유간흙,3유간흙,가슴,No,,,,,,성공,,직선타,,
유격수,2023.5.17,SSG,5,박성한,좌,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,주루사,,
유격수,2023.5.19,삼성,7,김현준,좌,1,유격수정면,유격수정면,무릎,No,,,,,,실패,,안타,바운드처리미스,
유격수,2023.5.19,삼성,3,오재일,좌,0,3유간흙,외야파울지역,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.5.20,삼성,1,김지찬,좌,2,유격수정면,유격수정면,무릎,No,유격수정면,1루,1.11,정면,무릎,성공,성공,땅볼,,
유격수,2023.5.20,삼성,1,피렐라,우,1,3유간흙,3유간흙,발목,No,유격수정면,1루,1.53,왼쪽,머리위,성공,성공,땅볼,터닝스로,
유격수,2023.5.20,삼성,3,김상민,좌,20,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,0.55,정면,가슴,성공,성공,땅볼,러닝스로,
유격수,2023.5.20,삼성,3,김현준,좌,2,유격수정면,2루베이스앞,허리,No,2루베이스앞,2루,0.36,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.20,삼성,6,구자욱,좌,2,3유간흙,3루베이스뒤,발목,Yes,3루베이스뒤,1루,0.62,왼쪽,무릎,성공,성공,내야안타,러닝스로,
유격수,2023.5.21,삼성,6,김현준,좌,0,유격수정면,외야,얼굴,No,,,,,,성공,,직선타,,
유격수,2023.5.21,삼성,4,김태군,우,0,3유간흙,2루베이스뒤,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.5.21,삼성,2,강민호,우,3,3유간흙,유격수정면,발목,No,2루베이스뒤,1루,1.51,정면,허리,성공,성공,땅볼,,
유격수,2023.5.21,삼성,5,강민호,우,2,유격수정면,유격수정면,발목,No,유격수정면,1루,1.27,오른쪽,가슴,성공,성공,땅볼,,
유격수,2023.5.21,삼성,7,피렐라,우,2,3유간흙,3유간흙,허리,No,3유간흙,1루,1.49,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.21,삼성,8,이재현,우,2,3유간흙,3유간흙,발목,No,3유간흙,1루,0.85,오른쪽,가슴,성공,성공,땅볼,,
유격수,2023.5.21,삼성,9,김태군,우,1,3유간흙,3유간흙,가슴,Yes,3유간흙,1루,1.34,오른쪽,가슴,성공,성공,땅볼,,
유격수,2023.5.21,삼성,11,김태군,우,2,유격수정면,유격수정면,허리,No,유격수정면,1루,0.69,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.21,삼성,3,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루허용,,
유격수,2023.5.23,롯데,2,노진혁,좌,0,2루정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.6,정면,발목,성공,성공,병살타,시프트,
유격수,2023.5.23,롯데,4,유강남,우,0,3유간흙,유격수정면,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.5.23,롯데,3,안권수,좌,7,유격수정면,3유간흙,발목,No,3유간흙,1루,0.74,오른쪽,발목,성공,성공,땅볼,,
유격수,2023.5.23,롯데,7,정보근,우,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.62,왼쪽,얼굴,성공,성공,땅볼,,
유격수,2023.5.23,롯데,8,윤동희,우,8,유격수정면,3유간흙,발목,Yes,3유간흙,1루,0.76,정면,허리,성공,성공,땅볼,,
유격수,2023.5.23,롯데,7,,,0,유격수정면,2루베이스앞,무릎,No,,,,,,성공,,도루저지,,
유격수,2023.5.23,롯데,8,,,0,유격수정면,2루베이스앞,발목,No,,,,,,성공,,도루저지,,
유격수,2023.5.24,롯데,1,김민석,좌,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.39,정면,무릎,성공,성공,땅볼,,
유격수,2023.5.24,롯데,5,한동희,우,6,유격수정면,외야,발목,Yes,외야,1루,0.85,정면,무릎,성공,성공,땅볼,숏바운드처리,
유격수,2023.5.24,롯데,5,안치홍,우,2,유격수정면,유격수정면,가슴,No,유격수정면,1루,1.13,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.24,롯데,7,안치홍,우,2,유격수정면,3유간흙,얼굴,No,3유간흙,1루,1.03,왼쪽,허리,성공,성공,땅볼,,
유격수,2023.5.24,롯데,1,윤동희,우,2,유격수정면,3유간흙,무릎,No,,,,,,실패,,내야안타,숏바운드처리미스,
유격수,2023.5.25,롯데,5,정보근,우,0,유격수정면,2루수정면,무릎,No,12간흙,홈,0.5,왼쪽,머리위,실패,실패,포구실책,송구미스추가,
유격수,2023.5.25,롯데,1,안권수,좌,0,유격수정면,유격수정면,얼굴,No,유격수정면,2루,0.55,왼쪽,가슴,성공,성공,중계,외야중계플레이,
유격수,2023.5.25,롯데,4,안치홍,우,5,유격수정면,유격수정면,발목,No,유격수정면,1루,1.24,정면,얼굴,성공,성공,땅볼,,
유격수,2023.5.25,롯데,4,한동희,우,4,유격수정면,3유간흙,발목,No,3유간흙,1루,1.29,정면,얼굴,성공,성공,땅볼,숏바운드처리,
